,Player_Name,Player_LastName,Club,Position,Foot,known_name,sics_id,opta_id,sc_id,first_name,last_name,born_date
0,JE'rE'mie,Boga ,ATALANTA,Left Winger,right,BOGA J.,16850,135365,4920,JEREMIE,BOGA,1997-01-03
1,Moustapha,CissE' ,ATALANTA,Centre-Forward,right,CISSE M.,31765,573202,128960,MOUSTAPHA,CISSE,2003-09-14
2,Giorgio,Cittadini  ,ATALANTA,Centre-Back,right,CITTADINI G.,23624,493261,100807,GIORGIO,CITTADINI,2002-04-18
3,Tommaso,De Nipoti,ATALANTA,Second Striker,left,DE NIPOTI T.,23782,551184,70668,TOMMASO,DE NIPOTI,2003-07-23
4,Marten,de Roon,ATALANTA,Defensive Midfield,right,DE ROON M.,8630,82428,7017,MARTEN,DE ROON,1991-03-29
5,Merih,Demiral ,ATALANTA,Centre-Back,right,DEMIRAL M.,19107,439128,15046,MERIH,DEMIRAL,1998-03-05
6,Berat,Djimsiti ,ATALANTA,Centre-Back,right,DJIMSITI B.,10288,96645,1317,BERAT,DJIMSITI,1993-02-19
7,Remo,Freuler ,ATALANTA,Central Midfield,right,FREULER R.,10289,89076,8919,REMO,FREULER,1992-04-15
8,Robin,Gosens ,ATALANTA,Left Midfield,left,GOSENS R.,14072,177901,9155,ROBIN,GOSENS,1994-07-05
9,Hans,Hateboer ,ATALANTA,Right-Back,right,HATEBOER H.,13282,170135,4197,HANS,HATEBOER,1994-01-09
10,Josip,Ilicic  ,ATALANTA,Second Striker,left,ILICIC J.,6045,55712,5482,JOSIP,ILICIC,1988-01-29
11,Teun,Koopmeiners ,ATALANTA,Defensive Midfield,left,KOOPMEINERS T.,14256,204644,14315,TEUN,KOOPMEINERS,1998-02-28
12,Sam,Lammers ,ATALANTA,Centre-Forward,both,LAMMERS S.,15959,215145,14299,SAM,LAMMERS,1997-04-30
13,Matteo,Lovato  ,ATALANTA,Centre-Back,right,LOVATO M.,21240,483988,26389,MATTEO,LOVATO,2000-02-14
14,Joakim,Maehle ,ATALANTA,Left-Back,right,MAEHLE J.,20250,229220,14570,JOAKIM,MAEHLE,1997-05-20
15,Ruslan,Malinovskyi ,ATALANTA,Attacking Midfield,left,MALINOVSKYI R.,14066,157374,12549,RUSLAN,MALINOVSKYI,1993-05-04
16,Valentin,Mihaila ,ATALANTA,Left Winger,right,MIHAILA V.,24459,439185,17435,VALENTIN,MIHAILA,2000-02-02
17,Aleksey,Miranchuk ,ATALANTA,Attacking Midfield,left,MIRANCHUK AL.,17384,160174,11648,ALEKSEY,MIRANCHUK,1995-10-17
18,Luis,Muriel ,ATALANTA,Centre-Forward,right,MURIEL L.,6333,87750,6439,LUIS,MURIEL,1991-04-16
19,Juan,Musso ,ATALANTA,Goalkeeper,right,MUSSO J.,16872,121537,14085,JUAN,MUSSO,1994-05-06
20,JosE',Luis Palomino,ATALANTA,Centre-Back,left,PALOMINO J. L.,13249,89861,5414,JOSE' LUIS,PALOMINO,1990-01-05
21,Mario,Pasalic ,ATALANTA,Attacking Midfield,right,PASALIC M.,9188,164570,6901,MARIO,PASALIC,1995-02-09
22,Matteo,Pessina ,ATALANTA,Attacking Midfield,left,PESSINA M.,12538,432105,14074,MATTEO,PESSINA,1997-04-21
23,Giuseppe,Pezzella  ,ATALANTA,Left-Back,left,PEZZELLA G.,8754,215312,3972,GIUSEPPE,PEZZELLA,1997-11-29
24,Roberto,Piccoli  ,ATALANTA,Centre-Forward,right,PICCOLI R.,19555,226267,24304,ROBERTO,PICCOLI,2001-01-27
25,Francesco,Rossi ,ATALANTA,Goalkeeper,right,ROSSI F.,12010,73709,14076,FRANCESCO,ROSSI,1991-04-27
26,Giorgio,Scalvini ,ATALANTA,Centre-Back,right,SCALVINI G.,23599,519394,34088,GIORGIO,SCALVINI,2003-12-11
27,Alassane,Sidibe ,ATALANTA,Central Midfield,right,SIDIBE A.,30760,493248,70661,ALASSANE,SIDIBE,2002-06-09
28,Marco,Sportiello ,ATALANTA,Goalkeeper,right,SPORTIELLO M.,6450,55083,6811,MARCO,SPORTIELLO,1992-05-10
29,Bosko,Sutalo  ,ATALANTA,Centre-Back,right,SUTALO B.,23483,455774,16623,BOSKO,SUTALO,2000-01-01
30,Rafael,TolOi ,ATALANTA,Centre-Back,right,TOLOI R.,8765,61118,8812,RAFAEL,TOLOI,1990-10-10
31,DuvAn,Zapata ,ATALANTA,Centre-Forward,right,ZAPATA D.,6200,103086,2895,DUVAN,ZAPATA,1991-04-01
32,Davide,Zappacosta  ,ATALANTA,Right-Back,right,ZAPPACOSTA D.,6461,105700,2541,DAVIDE,ZAPPACOSTA,1992-06-11
33,Michel,Aebischer ,BOLOGNA,Central Midfield,right,AEBISCHER M.,17412,235865,12416,MICHEL,AEBISCHER,1997-01-06
34,Wisdom,Amey ,BOLOGNA,Centre-Back,right,AMEY W.,26095,537503,43302,WISDOM,AMEY,2005-08-11
