Player_Name,Player_LastName,Club,Position,Foot,known_name
JE'rE'mie,Boga ,ATALANTA,Left Winger,right,BOGA J.
Moustapha,CissE' ,ATALANTA,Centre-Forward,right,CISSE M.
Giorgio,Cittadini  ,ATALANTA,Centre-Back,right,CITTADINI G.
Tommaso,De Nipoti,ATALANTA,Second Striker,left,DE NIPOTI T.
Marten,de Roon,ATALANTA,Defensive Midfield,right,DE ROON M.
Merih,Demiral ,ATALANTA,Centre-Back,right,DEMIRAL M.
Berat,Djimsiti ,ATALANTA,Centre-Back,right,DJIMSITI B.
Remo,Freuler ,ATALANTA,Central Midfield,right,FREULER R.
Robin,Gosens ,ATALANTA,Left Midfield,left,GOSENS R.
Hans,Hateboer ,ATALANTA,Right-Back,right,HATEBOER H.
Josip,Ilicic  ,ATALANTA,Second Striker,left,ILICIC J.
Teun,Koopmeiners ,ATALANTA,Defensive Midfield,left,KOOPMEINERS T.
Sam,Lammers ,ATALANTA,Centre-Forward,both,LAMMERS S.
Matteo,Lovato  ,ATALANTA,Centre-Back,right,LOVATO M.
Joakim,Maehle ,ATALANTA,Left-Back,right,MAEHLE J.
Ruslan,Malinovskyi ,ATALANTA,Attacking Midfield,left,MALINOVSKYI R.
Valentin,Mihaila ,ATALANTA,Left Winger,right,MIHAILA V.
Aleksey,Miranchuk ,ATALANTA,Attacking Midfield,left,MIRANCHUK AL.
Luis,Muriel ,ATALANTA,Centre-Forward,right,MURIEL L.
Juan,Musso ,ATALANTA,Goalkeeper,right,MUSSO J.
JosE',Luis Palomino,ATALANTA,Centre-Back,left,PALOMINO J. L.
Mario,Pasalic ,ATALANTA,Attacking Midfield,right,PASALIC M.
Matteo,Pessina ,ATALANTA,Attacking Midfield,left,PESSINA M.
Giuseppe,Pezzella  ,ATALANTA,Left-Back,left,PEZZELLA G.
Roberto,Piccoli  ,ATALANTA,Centre-Forward,right,PICCOLI R.
Francesco,Rossi ,ATALANTA,Goalkeeper,right,ROSSI F.
Giorgio,Scalvini ,ATALANTA,Centre-Back,right,SCALVINI G.
Alassane,Sidibe ,ATALANTA,Central Midfield,right,SIDIBE A.
Marco,Sportiello ,ATALANTA,Goalkeeper,right,SPORTIELLO M.
Bosko,Sutalo  ,ATALANTA,Centre-Back,right,SUTALO B.
Rafael,TolOi ,ATALANTA,Centre-Back,right,TOLOI R.
DuvAn,Zapata ,ATALANTA,Centre-Forward,right,ZAPATA D.
Davide,Zappacosta  ,ATALANTA,Right-Back,right,ZAPPACOSTA D.
Michel,Aebischer ,BOLOGNA,Central Midfield,right,AEBISCHER M.
Wisdom,Amey ,BOLOGNA,Centre-Back,right,AMEY W.
Ebenezer,Annan ,BOLOGNA,Left-Back,left,ANNAN E.
Marko,Arnautovic ,BOLOGNA,Centre-Forward,both,ARNAUTOVIC M.
Nicola,Bagnolini ,BOLOGNA,Goalkeeper,right,BAGNOLINI N.
Francesco,Bardi ,BOLOGNA,Goalkeeper,right,BARDI F.
Musa,Barrow ,BOLOGNA,Left Winger,right,BARROW M.
Luis,Binks ,BOLOGNA,Centre-Back,left,BINKS L.
Kevin,Bonifazi  ,BOLOGNA,Centre-Back,right,BONIFAZI K.
Lorenzo,De Silvestri,BOLOGNA,Right-Back,right,DE SILVESTRI L.
Mitchell,Dijks  ,BOLOGNA,Left-Back,left,DIJKS M.
NicolAs,DomInguez ,BOLOGNA,Central Midfield,right,DOMINGUEZ N.
Diego,Falcinelli ,BOLOGNA,Centre-Forward,left,FALCINELLI D.
Aaron,Hickey  ,BOLOGNA,Left-Back,both,HICKEY A.
Denso,Kasius  ,BOLOGNA,Right-Back,right,KASIUS D.
Ibrahima,Mbaye ,BOLOGNA,Right-Back,right,MBAYE I.
Gary,Medel ,BOLOGNA,Defensive Midfield,right,MEDEL G.
Kingsley,Michael ,BOLOGNA,Central Midfield,right,MICHAEL K.
Riccardo,Orsolini ,BOLOGNA,Right Winger,left,ORSOLINI R.
Niklas,PyyhtiA ,BOLOGNA,Central Midfield,left,PYYHTIA N.
Antonio,Raimondo ,BOLOGNA,Centre-Forward,left,RAIMONDO A.
Nicola,Sansone ,BOLOGNA,Left Winger,right,SANSONE N.
Federico,Santander ,BOLOGNA,Centre-Forward,right,SANTANDER F.
Jerdy,Schouten ,BOLOGNA,Defensive Midfield,right,SCHOUTEN J.
Lukasz,Skorupski ,BOLOGNA,Goalkeeper,right,SKORUPSKI L.
Andreas,Skov Olsen,BOLOGNA,Right Midfield,left,SKOV OLSEN A.
